Species_rep	Phylum	Class	Order	Family	Genus	Species
MGYG-HGUT-00001	Firmicutes_A	Clostridia	Peptostreptococcales	Peptostreptococcaceae	GCA-900066495	
MGYG-HGUT-00262	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Eubacterium	Eubacterium hallii
MGYG-HGUT-01338	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Blautia	Blautia wexlerae
MGYG-HGUT-00002	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Blautia	Blautia sp900066165
MGYG-HGUT-00249	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Faecalicatena	Faecalicatena faecis
MGYG-HGUT-02371	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Tidjanibacter	Tidjanibacter inops
MGYG-HGUT-00074	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Alistipes onderdonkii
MGYG-HGUT-00003	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Alistipes shahii
MGYG-HGUT-00080	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Anaerostipes	Anaerostipes caccae
MGYG-HGUT-00004	Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae	Anaerotruncus	Anaerotruncus colihominis
MGYG-HGUT-00147	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus paralicheniformis
MGYG-HGUT-02549	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides caccae
MGYG-HGUT-02455	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides cellulosilyticus
MGYG-HGUT-03684	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Eisenbergiella	Eisenbergiella massiliensis
MGYG-HGUT-01386	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Clostridium	Clostridium clostridioforme
MGYG-HGUT-00005	Firmicutes_A	Clostridia	Peptostreptococcales	Peptostreptococcaceae	Terrisporobacter	Terrisporobacter glycolicus
MGYG-HGUT-02514	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Proteus	Proteus mirabilis
MGYG-HGUT-02538	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae
MGYG-HGUT-00006	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	Staphylococcus xylosus
MGYG-HGUT-00007	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus intestinalis
